"","survival","fine","decomp","growth","N","sp.pair"
"1",-4.8,-0.14942,0.028225806740023,-3.512,0.00109199999999998,"elong + leech"
"2",-4.4,-0.00666000000000005,0.0237793684082439,-2.028,-0.00142799999999998,"elong + leech"
"3",-5.2,0.10264,0.022875420532133,-2.512,-0.00324800000000003,"elong + leech"
"4",-3.6,0.0108199999999999,0.0645546263441886,-2.18133333333333,-0.00276799999999999,"elong + leech"
"5",-2.8,0.0305,0.0347892372419533,-5.756,-0.000856000000000023,"elong + leech"
"6",-3.2,0.10208,0.0429792366165967,-0.904000000000001,-0.00283,"elong + leech"
"7",-3.8,0.0618199999999998,-0.0145350925038435,-1.48533333333333,-0.00573199999999996,"elong + leech"
"8",-3,-0.0686600000000001,0.0574234336932145,-2.93466666666667,-0.000782000000000005,"elong + leech"
"9",-4,-0.0982000000000002,0.0332382869889072,-3.74666666666667,-0.00294599999999995,"elong + leech"
"10",-2.8,0.0307999999999997,0.0480682431625635,-2.936,0.000897999999999954,"elong + leech"
"11",-5.4,-0.04564,0.0325622623254621,-2.205,0.00102399999999997,"elong + leech"
"12",-5,-0.0982600000000001,0.038748931770871,-3.439,0.000477999999999978,"elong + leech"
"13",-4.4,-0.1446,0.0511208759965937,-5.218,-0.00106400000000001,"elong + leech"
"14",-1,0.0196799999999999,0.0310896802521534,-2.996,-0.00237999999999999,"elong + leech"
"15",-5.2,0.11342,0.0302032888018908,-2.005,0.000432000000000043,"elong + leech"
"16",-2.4,0.00768000000000002,0.0339158411138955,-1.065,-0.00206200000000001,"elong + leech"
"17",-2.2,0.0224599999999999,0.0281443235266222,-4.00666666666667,-0.002942,"elong + leech"
"18",-3.2,-0.0216999999999999,0.0294902680019267,-1.44,-0.00204599999999999,"elong + leech"
"19",-4.8,-0.0313599999999999,0.0382409167486484,-1.56933333333333,-0.000966000000000022,"elong + leech"
"20",-4,-0.0129400000000001,0.0361498845104685,-2.38266666666667,-0.00101800000000002,"elong + leech"
"21",-4,-0.0493800000000002,0.0396808700158192,-2.663,-0.000286000000000008,"elong + leech"
"22",-3.2,0.00295999999999996,0.0253674461860528,-3.812,0.00089800000000001,"elong + leech"
"23",-4.4,-0.1981,0.0315201103361954,-3.05066666666667,-0.00212999999999997,"elong + leech"
"24",-4,-0.0581999999999999,0.0437206616693606,-2.864,-0.002334,"elong + leech"
"25",-3.2,-0.17688,0.0489282905592073,-4.592,-0.00212400000000001,"elong + leech"
"26",-3.6,0.04566,0.0307056062647322,-3.12,0.000375999999999987,"elong + leech"
"27",-5.2,-0.12062,0.0502165800072842,-4.164,-0.00110399999999999,"elong + leech"
"28",-2.2,-0.00850000000000006,0.045507595114495,-3.592,-0.00379800000000002,"elong + leech"
"29",-2,-0.07902,0.00676206275879926,-0.724000000000001,-0.00143599999999999,"elong + leech"
"30",-4.8,-0.25802,0.0448375154691397,-1.123,0.000629999999999964,"elong + leech"
"31",-3,-0.15816,0.0308965333408789,-0.556,-0.002056,"elong + leech"
"32",-3.2,-0.1666,0.0384080045592139,-4.27733333333333,8.000000000008e-06,"elong + leech"
"33",-4.6,-0.10314,0.0254185796529846,-3.929,-0.00307800000000003,"elong + leech"
"34",-4.2,-0.0381200000000002,0.0339158411138955,-3.98,-0.00238600000000005,"elong + leech"
"35",-4,0.0772999999999998,0.0450392712033248,-0.976,-0.00056000000000006,"elong + leech"
"36",-4.4,-0.09098,-0.0121819399606774,-2.609,-0.00468200000000002,"elong + leech"
"37",-3.4,-0.0239200000000002,0.0420007080963972,-2.191,-0.000528000000000028,"elong + leech"
"38",-2,-0.04824,0.0278460811191632,-1.88,0.001716,"elong + leech"
"39",-4.2,0.1325,0.0423523586138361,-2.18933333333333,0.00020199999999998,"elong + leech"
"40",-1.6,-0.0829400000000001,0.0355627599844112,-1.01866666666667,-0.00419599999999998,"elong + leech"
"41",-5,0.06548,0.0231352429898026,-1.809,0.000394000000000005,"elong + leech"
"42",-4.6,-0.0992000000000001,0.0302934984477321,-1.524,-0.000761999999999985,"elong + leech"
"43",-4.6,0.0582199999999998,0.0368284262562458,-0.492000000000001,0.00024799999999997,"elong + leech"
"44",-2.6,-0.1581,0.0157512257306104,-2.42,-0.000643999999999978,"elong + leech"
"45",-2.4,-0.0620200000000002,0.0361351817172578,-3.06,-0.00267600000000001,"elong + leech"
"46",-3.8,-0.1535,0.0398477340292624,-4.12133333333333,-3.19999999999765e-05,"elong + leech"
"47",-5.4,-0.0393200000000001,0.061519092374324,0.472,-0.001332,"elong + leech"
"48",-4.6,0.15252,0.0452240648711554,-0.778666666666667,-0.00132200000000005,"elong + leech"
"49",-4.2,-0.10314,0.00820546670192229,-1.617,0.000147999999999981,"elong + leech"
"50",-5.4,0.12784,0.029550224239521,-4.526,-0.00223800000000002,"elong + leech"
"51",-3.2,-0.0686600000000001,0.0126527759004706,0.0519999999999996,-0.00215799999999994,"elong + leech"
"52",-3.6,-0.17578,-0.0295013839878338,-4.648,-0.00186999999999998,"elong + leech"
"53",-3.4,0.0907199999999999,0.0637166968911067,-4.544,0.00313999999999998,"elong + leech"
"54",-5,-0.0277600000000001,0.0631640514192362,0.266999999999999,-9.00000000000345e-05,"elong + leech"
"55",-4.4,-0.11178,0.00872053055685207,-4.70933333333333,-0.00506400000000001,"elong + leech"
"56",-2.6,-0.00850000000000006,0.0398592627735788,-3.36133333333333,-0.00153199999999998,"elong + leech"
"57",-3.8,0.0316399999999999,0.0589389197813455,-1.49,-0.00422400000000001,"elong + leech"
"58",-4.4,-0.2201,0.0420120880470834,-2.268,-0.00067600000000001,"elong + leech"
"59",-2,-0.02142,0.0300075989773904,-4.048,-0.00131599999999998,"elong + leech"
"60",-2.8,-0.21966,0.0613727122306489,-2.55,-0.00308399999999998,"elong + leech"
"61",-3.6,0.0544999999999998,0.0520940294397866,-2.84133333333333,0.00163800000000003,"elong + leech"
"62",-3.8,-0.13632,0.0617103675636692,-5.01733333333333,-0.00393400000000005,"elong + leech"
"63",-3,-0.21772,0.0306640647883692,-4.156,-5e-04,"elong + leech"
"64",-4.4,0.0339599999999999,0.0451303384833406,-4.95866666666667,-0.001558,"elong + leech"
"65",-4,-0.03956,0.0568772769066936,0.682666666666666,0.000568000000000013,"elong + leech"
"66",-3.2,0.10416,0.0207343355797863,-1.656,0.00309399999999999,"elong + leech"
"67",-3,-0.14594,0.0157512257306104,-1.756,-0.00520200000000004,"elong + leech"
"68",-4,-0.03506,0.0359683177038145,-4.083,-0.000780000000000003,"elong + leech"
"69",-3.8,-0.23044,0.0456127629311861,-1.385,-0.000431999999999988,"elong + leech"
"70",-4.4,-0.02286,0.0148263173545499,-3.698,0.000184000000000017,"elong + leech"
"71",-5.4,0.0582999999999999,0.0105409816070313,-1.356,-0.00548200000000004,"elong + leech"
"72",-3.8,0.07038,-0.00478118444990638,-0.626,-0.000518000000000018,"elong + leech"
"73",-4,-0.00104000000000004,0.0165593474417524,-0.596,-0.00275600000000004,"elong + leech"
"74",-1.8,-0.0331400000000002,0.0110871383935522,-5.24533333333333,1.79999999999625e-05,"elong + leech"
"75",-3.4,-0.20136,0.0271183764898079,-2.103,-0.00114400000000003,"elong + leech"
"76",-2.8,0.00951999999999997,-0.00676455075288268,-3.616,0.000481999999999982,"elong + leech"
"77",-4.8,-0.0117400000000001,0.0454433672011866,-1.456,-0.00238600000000005,"elong + leech"
"78",-4,0.00508000000000003,0.0168614258911935,-4.298,-0.000579999999999969,"elong + leech"
"79",-4.2,-0.0117400000000001,0.00799559880701939,-2.399,-0.00158599999999998,"elong + leech"
"80",-3,-0.0711400000000001,0.0260472164870552,-2.22,-0.00109599999999999,"elong + leech"
"81",-2.4,0.00937999999999983,0.0427060945832325,-2.428,-0.00364799999999998,"elong + leech"
"82",-2.6,0.03584,0.0282852197236825,-4.178,-0.00226199999999999,"elong + leech"
"83",-5.6,-0.13138,0.0307580735802354,-4.144,-0.00246400000000002,"elong + leech"
"84",-3.8,0.10424,0.0146800657278578,-0.204,-0.00160199999999999,"elong + leech"
"85",-3,-0.0982400000000002,-0.0248286686589519,-4.348,-0.00147199999999997,"elong + leech"
"86",-3,-0.0710000000000001,0.0513153822656756,-2.472,-0.00158600000000003,"elong + leech"
"87",-3.4,-0.05266,0.0460063688089504,-1.976,-0.00295200000000001,"elong + leech"
"88",-2.6,-0.0872200000000001,0.00781968524349508,-2.584,-0.000446000000000002,"elong + leech"
"89",-1.8,0.0433999999999998,0.0377887687539937,-1.61866666666667,0.000694000000000028,"elong + leech"
"90",-5.2,0.04126,0.0303701528153341,-6.527,0.00119400000000003,"elong + leech"
"91",-5.8,0.0454199999999998,0.0387352439007508,-4.368,-0.002666,"elong + leech"
